"fig_id","description"
"fig-000241","Daredevil"
"fig-000242","Racer, Blue Jacket with Zipper, White Helmet with Visor"
"fig-000243","Policeman, Black Jacket with Zipper, Radio, Badge, and 'POLICE' on Back, White Hat"
"fig-000244","Batzarro"
"fig-000245","Larry the Barista (CMF)"
"fig-000246","Racer, Blue and White Outfit with Shark, Blue Hat with Goggles"
"fig-000247","Stephanie - White Jersey, Dark Blue Trousers"
"fig-000248","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Moustache and Stubble"
"fig-000249","Shrunken"
"fig-000250","Captain Jack Sparrow with Tricorne Hat"
"fig-000251","Knight (Scale Mail on Red) - Black Arms, Blue Legs, Black Chin-Guard"
"fig-000252","Chef - White Torso, Light Gray Legs"
"fig-000253","Conductor - Dark Blue Jacket, Dark Blue Legs, Dark Red Hat, Glasses"
"fig-000254","Construction Worker in Orange Jacket with Zipper and Reflective Stripes, Red Helmet, Smirk and Stubble Beard"
"fig-000255","Space Miner"
"fig-000256","Spitta"
"fig-000257","White Torso, Blue Legs, Red Cap (3626b Head)"
"fig-000258","Fireman, Black Fire Jacket with Red Belt and Badge, White Helmet"
"fig-000259","T-16 Skyhopper Pilot, Red Outfit, Yellow Skin"
"fig-000260","Aquaraider 2"
"fig-000261","Emmet, Neck Bracket"
"fig-000262","Emmet, Pajamas"
"fig-000263","Classic Spaceman, White with Airtanks (3842b Helmet)"
"fig-000264","Radio DJ Robot"
"fig-000265","Man, Blue Jacket with Octan Logo, White Legs, Blue Cap"
"fig-000266","Fireman, Black Fire Jacket with Radio and Badge, White Helmet, Airtanks, Breathing Apparatus"
"fig-000267","Emmet, Western Outfit"
"fig-000268","Andrea - White Top, Bright Light Orange Skirt. Magenta Bow"
"fig-000269","Soccer Player Coca-Cola Midfielder 1"
"fig-000270","Darth Maul in Santa Outfit"
"fig-000271","Doctor, White Torso with Stethoscope and Pocket, White Legs, Black Hair, Glasses"
"fig-000272","Finn, Stormtrooper Armor"
"fig-000273","Soccer Player Coca-Cola Goalie"
"fig-000274","Timmy - Blue Legs, Red Cap"
"fig-000275","Olivia - Magenta Top, Bright Light Blue Skirt"
"fig-000276","Harry Potter, Black Tuxedo"
"fig-000277","Pepper Roni"
"fig-000278","BR Anniversary Minifigure"
"fig-000279","The Collector"
"fig-000280","Pirate - Shirt with Knife, Blue Legs, Black Bicorne"
"fig-000281","Rebel Trooper / Rebel Fleet Trooper, White Pupils, Smile"
"fig-000282","Jay NRG"
"fig-000283","Racer, Yellow and White Outfit with Tiger, Black Helmet with Visor, Yellow Life Vest"
"fig-000284","Fireman, Orange Safety Vest with Radio, White Helmet with Visor, Stubble"
"fig-000285","Man, Blue Shirt, Blue Legs, Red Hard Hat"
"fig-000286","Lieutenant Maverick"
"fig-000287","Snowboarder, Black Jacket, Black Hat, Neck Bracket"
"fig-000288","Man, Plain Red, Helmet with Visor, Yellow Life Vest"
"fig-000289","Man, Plain Red Torso, Black Legs, Blue Hat"
"fig-000290","Robber with Tattered Green Vest"
"fig-000291","Tonto"
"fig-000292","Ninja, Black"
"fig-000293","Racer, White Shirt with Shell Logo, Red Legs, Red Helmet with Visor"
"fig-000294","Soccer Player Goalie Blue Torso with Silver print, Black Legs, Blue Cap"
"fig-000295","Man - White Torso, Black Legs, Black Spiky Hair"
"fig-000296","Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Dark Bluish Gray Hands, White Helmet, Cheek Lines"
"fig-000297","Pirate - Red/Black Stripes, Blue Legs, Blue Bandana"
"fig-000298","Luke Skywalker, Printed Medal, White Pupils"
"fig-000299","Luke Skywalker, Printed Medal, Black Eyes"
"fig-000300","Knight (Breastplate on Red) - Blue Legs, Dark Gray Neck-Protector, Plastic Cape"
"fig-000301","Grip - Light Gray Legs"
"fig-000302","Andrea - Bright Light Orange Top, Light Aqua Skirt, Magenta Party Hat"
"fig-000303","Clone Trooper, Phase I Armor, Brown Eyes"
"fig-000304","Man, White Vest with Truck, Red Legs, Red Cap"
"fig-000305","Imperial Shadow ARF Trooper"
"fig-000306","Assistant - Female"
"fig-000307","Knight (Knights Kingdom I) - Bull Robber, Black Chin-Guard"
"fig-000308","Man, Brown Jacket, Blue Legs, White Cap, Blue Sunglasses"
"fig-000309","Actor 1"
"fig-000310","Man - White Torso, Black Legs Brown Hair"
"fig-000311","Leonidas"
"fig-000312","Stormtrooper, Chrome Silver Armor"
"fig-000313","Worker, Blue Shirt with Orange Stripes and Pockets, Lime Cap"
"fig-000314","Man, Black Torso, White Legs, Blue Cap, Backpack, Sunglasses"
"fig-000315","Soccer Player, Dutch Team"
"fig-000316","Boba Fett, White Armor, Plain Black Head"
"fig-000317","Lillie - Christmas Sweater, Red Skirt"
"fig-000318","Quicky the Nesquik Bunny"
"fig-000319","Man - Blue Torso, White Legs, Black Hair"
"fig-000320","Soccer Player Coca-Cola Defender 4"
"fig-000321","Soccer Referee / Linesmen, Green Torso, Black Legs"
"fig-000322","Cole NRG"
"fig-000323","Captain Jack Sparrow, Voodoo"
"fig-000324","Chase McCain, Dark Bluish Gray Vest with Radio, Badge and Pouches over Medium Blue Shirt, Black Legs"
"fig-000325","Baron Von Barron (Pilot)"
"fig-000326","Soccer Player White Torso, Blue Legs, Brown Hair, Standard Face"
"fig-000327","Lord Sam Sinister with Dark Gray Pants"
"fig-000328","Brickster with Dark Gray Hat"
"fig-000329","Shogun, Armor and Helmet with Horn"
"fig-000330","Lobot, Yellow Skin"
"fig-000331","Bumblebee"
"fig-000332","Boba Fett, Child, Dark Azure Outfit"
"fig-000333","Archer (Knights Kingdom I) - Plate on Legs"
"fig-000334","Ed, Black Fire Suit with Gauge and Straps, White Helmet, Breathing Apparatus, Airtanks, Goatee Beard"
"fig-000335","Man, Brown Jacket, Blue Legs, Blue Cap, Blue Sunglasses"
"fig-000336","Crug"
"fig-000337","Dr. Peter Venkman (Dimensions)"
"fig-000338","Jango Fett, Santa Outfit"
"fig-000339","Bat Lord (Fright Knights) - no Cape"
"fig-000340","Arctic Scout"
"fig-000341","Classic Spaceman, Yellow with Airtanks (3842b Helmet)"
"fig-000342","Fireman, Plain Black, Black Helmet"
"fig-000343","Man, White and Blue Hoodie, Green Legs, Dark Brown Hair"
"fig-000344","Man, Blue Shirt with Buttons and Pockets, Blue Legs, Brown Hair"
"fig-000345","Man, Blue Jacket with Highway Logo, Blue Legs, Red Cap"
"fig-000346","Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, Red Legs, Silver Helmet"
"fig-000347","Laval"
"fig-000348","Man, White and Blue Striped Shirt, Blue Legs, Blue Cap"
"fig-000349","Knight (Royal Knights) - Black Legs, Dark Gray Neck-Protector"
"fig-000350","Anna - Black Vest, Yellowish Green Dress, Dark Turquoise Cape"
"fig-000351","Man, Blue Jacket with Zipper, Black Legs, White Helmet with Visor"
"fig-000352","Man, White Torso with Shell Logo, Blue Legs, Red Hat"
"fig-000353","Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor"
"fig-000354","Man, Plain Red, Black Helmet with Visor"
"fig-000355","Sykor"
"fig-000356","Aquashark Hybrid"
"fig-000357","Docs"
"fig-000358","Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Black Visor, Sunglasses"
"fig-000359","Johnny Thunder (Desert)"
"fig-000360","Racer, Red Jacket with Octan Logo and 'RACING', Red Legs, White Helmet with Trans-Light Blue Visor, Sunglasses"
"fig-000361","Astronaut, White, Blue Cap, Headset"
"fig-000362","Ninja, Dark Gray"
"fig-000363","Racer, White Jacket with 2 Stars, Black Helmet with Visor, Sunglasses"
"fig-000364","Santa, Plain Red with White Hips"
"fig-000365","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Moustache and Stubble"
"fig-000366","Gladiator"
"fig-000367","Racer, White Shirt with Shell Logo, Black Legs, Red Helmet with Visor"
"fig-000368","Ghost Ninja Attila / Ming / Spyder"
"fig-000369","Mr. Cunningham"
"fig-000370","Racer, Woman, Green and White Outfit with Crocodile, Green Helmet with Visor"
"fig-000371","Racer, Red and White Outfit with Scorpion, Red Helmet with Visor"
"fig-000372","Bandit, Black Hard Hat"
"fig-000373","Classic Spaceman, Blue with Airtanks (3842a Helmet)"
"fig-000374","Santa, Plain Red with Black Hips"
"fig-000375","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat, Glasses"
"fig-000376","Cameraman - Blue Legs, Blue Cap"
"fig-000377","Stunt Driver"
"fig-000378","Battle Goddess"
"fig-000379","LEGOLAND Blue Torso, Red Legs, Black Hat"
"fig-000380","Man, Dark Azure Shirt, Dark Tan Legs, Dark Bluish Gray Hat, Red Backpack"
"fig-000381","Soccer Player White Torso, Blue Legs #11"
"fig-000382","Pirate - Blue Jacket, Light Gray Legs, Black Tricorne"
"fig-000383","Pirate - Red Stripes, Blue Legs, Red Bandana, 3626a"
"fig-000384","Man, White Torso with Shell Logo, Red Legs, Red Hat"
"fig-000385","Man, Plain Red, Red Hat"
"fig-000386","Racer, White Jacket with Zipper, White Helmet with Visor (3626b Head)"
"fig-000387","Man, Red Jacket with Zipper, Red Legs, Black Helmet"
"fig-000388","Knight (Scale Mail on Red) - Red Arms, Black Legs, Dark Gray Neck-Protector"
"fig-000389","Racer, Black Jacket with Zipper, Black Helmet with Visor (3626a Head)"
"fig-000390","Knight (Scale Mail on Blue) - Black Arms, Blue Legs, Dark Gray Neck-Protector"
"fig-000391","Racer, White Jacket with Zipper, White Helmet with Visor (3626a Head)"
"fig-000392","Olivia - Dark Pink Top, Dark Blue Skirt"
"fig-000393","White Torso with Flowers, Orange Legs, Black Ponytail (3626b Head)"
"fig-000394","Man, Blue Shirt with Buttons and Pockets, Blue Legs, Blue Cap (3626b Head)"
"fig-000395","Woman, Tied Pink Tank Top with Flowers, White Legs, Black Hair, Yellow Life Vest"
"fig-000396","Racer, Blue Jacket with Octan Logo, Blue Legs, White Helmet with Visor"
"fig-000397","Santa, Plain Red with Light Gray Legs, and Back Basket"
"fig-000398","Man, White Tank Top with Windsurfer, Yellow Legs, Brown Hair, Yellow Life Vest, Moustache"
"fig-000399","Man, Green Jacket, White Legs, Blue Cap, Yellow Life Vest, Blue Sunglasses"
"fig-000400","Officer (Imperial Guard) - Yellow Epaulettes"
"fig-000401","Blue Torso, White Legs, Red Cap"
"fig-000402","Man, Dark Blue Plaid Shirt, Dark Blue Legs, Red Cap, Silver Sunglasses"
"fig-000403","Man - Green Torso, Red Legs, Red Cap"
"fig-000404","Pirate - Blue Stripes, Black Legs, Black Tricorne"
"fig-000405","Racer, Blue Jacket with Zipper, Blue Helmet with Visor"
"fig-000406","Blacktron I (3626a Head)"
"fig-000407","Knight (Scale Mail on Red) - Black Arms, Black Legs, Black Neck-Protector"
"fig-000408","Troll King, Metallic Copper Crown"
"fig-000409","Man, Green Jacket, Green Legs, Black Hair, Yellow Life Vest, Sunglasses"
"fig-000410","Racer, White Top with Large Octan Logo, Red Legs, Red Helmet with Visor"
"fig-000411","Indiana Jones"
"fig-000412","Man, Plain Black, Black Helmet with Visor, Sunglasses"
"fig-000413","Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Breathing Apparatus, Airtanks, Stubble"
"fig-000414","Ned Flanders (CMF)"
"fig-000415","Ogel Minion"
"fig-000416","Highland Battler"
"fig-000417","Zane (The Golden Weapons)"
"fig-000418","Kai (The Golden Weapons)"
"fig-000419","Arctic Crew, Green, Hood"
"fig-000420","Man, Green Jacket, Dark Bluish Gray Legs, Hood, Silver Sunglasses"
"fig-000421","Infomaniac, LEGO Logo on Back"
"fig-000422","Cole DX"
"fig-000423","White Torso, Palm Tree, Black Legs, Black Hair"
"fig-000424","White Torso, Freestyle, Green Legs, Red Cap"
"fig-000425","Pilot, Black Jacket with Zipper, White Helmet with Trans-Light Blue Visor"
"fig-000426","Master Wu (The Golden Weapons)"
"fig-000427","Blue Torso, Tan Legs, Black Hair"
"fig-000428","Racer, White Jacket with 2 Stars, Red Helmet with Visor, Sunglasses"
"fig-000429","Biker Bob"
"fig-000430","Knight (Fright Knights) - Red Legs, Black Hips"
"fig-000431","Diver, Woman, Blue Wetsuit, Black Helmet with Mask, Airtank"
"fig-000432","Racer, Extreme Team, Black Jacket, Green Legs, Blue Cap, Yellow Life Vest"
"fig-000433","Man, Plain White, Red Helmet with Visor"
"fig-000434","Worker, Blue Jacket with Orange Stripes, Blue Legs, Blue Cap, Silver Sunglasses"
"fig-000435","Man, Green Overalls over Red Shirt, Blue Cap"
"fig-000436","Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Blue Legs, Red Hard Hat"
"fig-000437","Boy, White and Blue Hoodie, Short Blue Legs, Red Cap"
"fig-000438","Indian - Tan Clothing, Blue Trim, Quiver"
"fig-000439","Classic Spaceman, White with Airtanks (2446 Helmet) (3626b Head)"
"fig-000440","Firefighter, Black Fire Suit, Bright Light Yellow Ponytail Hair"
"fig-000441","Knight (Crusader Lion) - Blue Legs and Hips, Chin-Guard"
"fig-000442","Man, Blue Jacket with Zipper, Blue Legs, White Cap, Sunglasses"
